pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status
37668683,"Molecular understanding of anthocyanin biosynthesis activated by PAP1 and regulated by 2, 4-dichlorophenoxyacetic acid in engineered red Artemisia annua cells.",Planta,2023 Sep 5,biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics,2,title_priority_only
37711006,"Traditional uses, Phytochemistry, Pharmacology, and Toxicology of the Genus Artemisia L. (Asteraceae): A High-value Medicinal Plant.",Current topics in medicinal chemistry,2024,terpene_essential_oil;sesquiterpene_lactone;antiparasitic;safety,chemistry,2,title_priority_only
38288461,In-vivo Immunomodulatory Activities of Essential Oils of Artemisia abyssinica and Lepidium sativum in Mice.,ImmunoTargets and therapy,2024,terpene_essential_oil,chemistry,2,title_priority_only
38576787,Functional analysis of CYP71AV1 reveals the evolutionary landscape of artemisinin biosynthesis.,Frontiers in plant science,2024,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics,lactone;genomics,2,title_priority_only
38938551,Essential Oil and Smoke Components of Artemisia absinthium and Hagenia abyssinica.,International journal of food science,2024,terpene_essential_oil,chemistry,2,title_priority_only
38938669,Corrigendum: Effects of essential oil extracted from Artemisia argyi leaf on lipid metabolism and gut microbiota in high-fat diet-fed mice.,Frontiers in nutrition,2024,terpene_essential_oil;biosynthesis_genes;genomics_phylogenomics,chemistry,2,title_priority_only
39006964,The reference genome sequence of Artemisia argyi provides insights into secondary metabolism biosynthesis.,Frontiers in plant science,2024,terpene_essential_oil;biosynthesis_genes;genomics_phylogenomics,genomics,2,title_priority_only
39092222,Artemvulactone E isolated from Artemisia vulgaris L. ameliorates lipopolysaccharide-induced inflammation in both RAW264.7 and zebrafish model.,Frontiers in pharmacology,2024,sesquiterpene_lactone,lactone,2,title_priority_only
39114468,Identification of the histone acetyltransferase gene family in the Artemisia annua genome.,Frontiers in plant science,2024,sesquiterpene_lactone;genomics_phylogenomics,genomics,2,title_priority_only
39206258,A comparative analysis of chloroplast genomes revealed the chloroplast heteroplasmy of Artemisia annua.,Frontiers in pharmacology,2024,sesquiterpene_lactone;genomics_phylogenomics;antiparasitic,genomics,2,title_priority_only
