pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
22615678,"The presence of amorpha-4, 11-diene synthase, a key enzyme in artemisinin production in ten Artemisia species.",sesquiterpene_lactone;biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
22695231,Chemical composition and insecticidal activity against Sitophilus zeamais of the essential oils derived from Artemisia giraldii and Artemisia subdigitata.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
22736625,A safety assessment of the antimalarial herb Artemisia annua during pregnancy in Wistar rats.,sesquiterpene_lactone;antiparasitic;safety,antiparasitic;safety,3,pending_manual_review,retrieved
22803354,[Relative expression of genes involved in artemisinin biosynthesis and artemisinin accumulation in different tissues of Artemisia annua].,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
22896830,Relaxant Effect of Essential Oil of Artemisia herba-alba Asso. on Rodent Jejunum Contractions.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
23079824,Overexpression of the cytochrome P450 monooxygenase (cyp71av1) and cytochrome P450 reductase (cpr) genes increased artemisinin content in Artemisia annua (Asteraceae).,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
23126238,Essential oil variation in the populations of Artemisia spicigera from northwest of Iran: chemical composition and antibacterial activity.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
23161198,"Trichome-specific expression of the amorpha-4,11-diene 12-hydroxylase (cyp71av1) gene, encoding a key enzyme of artemisinin biosynthesis in Artemisia annua, as reported by a promoter-GUS fusion.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
23203088,Dual bioactivities of essential oil extracted from the leaves of Artemisia argyi as an antimelanogenic versus antioxidant agent and chemical composition analysis by GC/MS.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
23244627,Chemical and biological study on the essential oil of Artemisia caerulescens L. ssp. densiflora (Viv.).,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
23251523,An endophytic Pseudonocardia species induces the production of artemisinin in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
23262266,NO inhibitory guaianolide-derived terpenoids from Artemisia argyi.,terpene_essential_oil;sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
23289055,Dried whole plant Artemisia annua as an antimalarial therapy.,terpene_essential_oil;sesquiterpene_lactone;antiparasitic;safety,antiparasitic;safety,3,pending_manual_review,retrieved
23341930,The sesquiterpene lactone dehydroleucodine triggers senescence and apoptosis in association with accumulation of DNA damage markers.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
23437216,"Overexpression of the Artemisia orthologue of ABA receptor, AaPYL9, enhances ABA sensitivity and improves artemisinin content in Artemisia annua L.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
23448426,"AaORA, a trichome-specific AP2/ERF transcription factor of Artemisia annua, is a positive regulator in the artemisinin biosynthetic pathway and in disease resistance to Botrytis cinerea.",terpene_essential_oil;sesquiterpene_lactone;diterpene_triterpene;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
23512495,Is artemisinin the only antiplasmodial compound in the Artemisia annua tea infusion? An in vitro study.,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
23642022,Antioxidant and relaxant activity of fractions of crude methanol extract and essential oil of Artemisia macrocephala Jacquem.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
23642456,Terpenes and polyacetylenes from cultivated Artemisia granatensis boiss (Royal chamomile) and their defensive properties.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
